run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMJumpEnv,23,COMPLETE,-0.30562,-6.1459,20.1097,30000,5,6.020952437839837e-05,1024,512,8,0.908569096458476,0.08106149171392747,0.2,0.8267929067920783
tuned_v1,PPOAgent,ABMJumpEnv,24,COMPLETE,-0.774294,-6.3069,8.1454,30000,5,9.918682385214432e-05,1024,64,7,0.9365271953643071,0.002064725499590755,0.1,0.9055432862938326
tuned_v1,PPOAgent,ABMJumpEnv,25,COMPLETE,0.936227,20.9914,22.4213,30000,5,1.6242213726834375e-05,1024,512,6,0.9657655722899943,0.00016733687403346957,0.3,0.9731473743355026
tuned_v1,PPOAgent,ABMJumpEnv,26,COMPLETE,0.526287,17.2257,32.7307,30000,5,1.609725384023581e-05,1024,128,4,0.9883372139111039,0.00016921428190210482,0.1,0.9760439717956251
tuned_v1,PPOAgent,ABMJumpEnv,27,COMPLETE,0.021133,0.4884,23.1109,30000,5,1.013835752527163e-05,1024,256,6,0.9206046771468676,0.0002993314797628631,0.1,0.9584493911560139
tuned_v1,PPOAgent,ABMJumpEnv,28,COMPLETE,-0.378169,-6.8564,18.1304,30000,5,2.9227387614477407e-05,512,64,5,0.9525061316746558,0.00012990270395119125,0.2,0.9804888814710498
tuned_v1,PPOAgent,ABMJumpEnv,29,COMPLETE,-0.054492,-0.3045,5.5886,30000,5,3.966456878228064e-05,2048,512,7,0.9694429586636834,0.0001005343548882602,0.3,0.9326615328992769
tuned_v1,PPOAgent,ABMRegimeEnv,0,COMPLETE,0.573507,11.3753,19.8347,30000,5,0.0001329291894316216,512,512,7,0.9708072577796045,0.00011527987128232407,0.1,0.8363649934414201
tuned_v1,PPOAgent,ABMRegimeEnv,1,COMPLETE,0.138616,2.5129,18.1288,30000,5,3.5498788321965036e-05,1024,128,5,0.9456069984217036,0.02267398652378041,0.3,0.8092900825439996
tuned_v1,PPOAgent,ABMRegimeEnv,2,COMPLETE,0.221439,6.724,30.3651,30000,5,0.0006647135865318024,2048,64,8,0.9440152493739602,0.00023233503515390126,0.3,0.8517559963200034
